// sm_dump_classes classes.txt 

// Dump of all classes for "left4dead" as at 2024/10/08
//

CFireSmoke - _firesmoke
CPlasma - _plasma
CLunge - ability_lunge
CThrow - ability_throw
CTongue - ability_tongue
CVomit - ability_vomit
CBaseEntity - ai_changehintgroup
CBaseEntity - ai_changetarget
CBaseEntity - ai_sound
CBaseEntity - ambient_generic
CBeam - beam
CBeamSpotlight - beam_spotlight
Boomer - boomer
CClientPath - client_path
CColorCorrection - color_correction
CColorCorrectionVolume - color_correction_volume
CBaseEntity - commentary_auto
CBaseCombatCharacter - commentary_dummy
CBaseEntity - commentary_zombie_spawner
CCSGameRulesProxy - cs_gamerules
CCSRagdoll - cs_ragdoll
CCSTeam - cs_team_manager
CBaseFlex - cycler_flex
CDynamicProp - dynamic_prop
CBaseEntity - entity_blocker
CEntityFlame - entityflame
CBeam - env_beam
CBaseEntity - env_beverage
CBaseEntity - env_blood
CBaseEntity - env_bubbles
CBaseEntity - env_credits
CBaseEntity - env_debughistory
CEnvDetailController - env_detail_controller
CEnvDOFController - env_dof_controller
CBaseEntity - env_dustpuff
DustTrail - env_dusttrail
CBaseAnimating - env_effectscript
CEmbers - env_embers
CEntityDissolve - env_entity_dissolver
CEntityFlame - env_entity_igniter
CBaseEntity - env_entity_maker
CBaseEntity - env_explosion
CBaseEntity - env_fade
CBaseEntity - env_fire
CFireTrail - env_fire_trail
CBaseEntity - env_firesensor
CBaseEntity - env_firesource
CFogController - env_fog_controller
CBaseEntity - env_funnel
CBaseEntity - env_global
CSprite - env_glow
CBaseEntity - env_gunfire
CBaseEntity - env_hudhint
CBeam - env_laser
CLightGlow - env_lightglow
CBaseEntity - env_message
CBaseEntity - env_microphone
MovieExplosion - env_movieexplosion
CBaseEntity - env_muzzleflash
CBaseEntity - env_outtro_stats
CParticlePerformanceMonitor - env_particle_performance_monitor
CEntityParticleTrail - env_particle_trail
CParticleFire - env_particlefire
CBaseEntity - env_particlelight
CEnvParticleScript - env_particlescript
ParticleSmokeGrenade - env_particlesmokegrenade
CBaseEntity - env_physexplosion
CBaseEntity - env_physimpact
CBaseEntity - env_physwire
CBaseEntity - env_player_blocker
CBaseEntity - env_player_surface_trigger
CEnvProjectedTexture - env_projectedtexture
CEnvQuadraticBeam - env_quadraticbeam
CBaseEntity - env_ragdoll_boogie
CBaseEntity - env_rock_launcher
RocketTrail - env_rockettrail
CBaseEntity - env_rotorshooter
CEnvScreenEffect - env_screeneffect
CEnvScreenOverlay - env_screenoverlay
CBaseEntity - env_shake
CBaseEntity - env_shooter
CSmokeStack - env_smokestack
SmokeTrail - env_smoketrail
CBaseEntity - env_soundscape
CBaseEntity - env_soundscape_proxy
CBaseEntity - env_soundscape_triggerable
CBaseEntity - env_spark
CBaseEntity - env_splash
SporeExplosion - env_sporeexplosion
SporeTrail - env_sporetrail
CSprite - env_sprite
CSpriteOriented - env_sprite_oriented
CSpriteTrail - env_spritetrail
CSteamJet - env_steam
CSteamJet - env_steamjet
CSun - env_sun
CBaseEntity - env_texturetoggle
CEnvTonemapController - env_tonemap_controller
CEnvTonemapController - env_tonemap_controller_ghost
